"itemid","name","price01","stock01"
"1135","Norg Shell","300000","22"
"1157","Sands of Silence","4000","2"
"1199","Northern Fur","500","2"
"1200","Eastern Pottery","1000","4"
"1201","Southern Mummy","1000","2"
"1209","Desert Venom","10000","2"
"1210","Damp Scroll","50000","0"
"1344","Cursed Kabuto","5000","1"
"1345","Cursed Kabuto -1","2500000","0"
"1346","Cursed Togi","10000","2"
"1347","Cursed Togi -1","3000000","0"
"1348","Cursed Kote","6000","6"
"1349","Cursed Kote -1","2000000","0"
"1350","Cursed Haidate","5000","1"
"1351","Cursed Haidate -1","2000000","1"
"1352","Cursed Sune-Ate","5000","2"
"1353","C. Sune-Ate -1","2000000","0"
"1354","Cursed Celata","10000","1"
"1355","Cursed Celata -1","6000000","0"
"1356","Cursed Hauberk","600000","1"
"1358","Cursed Mufflers","75000","17"
"1357","Cursed Hauberk -1","10000000","0"
"1359","C. Mufflers -1","5000000","0"
"1360","Cursed Breeches","5000","1"
"1361","C. Breeches -1","4750000","0"
"1362","Cursed Sollerets","20000","17"
"1363","C. Sollerets -1","3000000","0"
"1364","Cursed Crown","5000","9"
"1365","Cursed Crown -1","1500000","0"
"1366","Cursed Dalmatica","100000","1"
"1367","C. Dalmatica -1","5000000","0"
"1368","Cursed Mitts","10000","0"
"1369","Cursed Mitts -1","1000000","0"
"1370","Cursed Slacks","100000","0"
"1371","Cursed Slacks -1","4000000","0"
"1372","Cursed Pumps","10000","0"
"1373","Cursed Pumps -1","3000000","0"
"1374","Cursed Schaller","5500","11"
"1375","Cursed Schaller -1","2300000","0"
"1376","Cursed Cuirass","100000","2"
"1377","Cursed Cuirass -1","6300000","0"
"1378","C. Handschuhs","20000","12"
"1379","C. Handschuhs -1","3000000","0"
"1380","Cursed Diechlings","5000","3"
"1383","Cursed Schuhs -1","4500000","0"
"1381","C. Diechlings -1","2000000","1"
"1382","Cursed Schuhs","10000","5"
"1384","Cursed Mask","20000","15"
"1385","Cursed Mask -1","2500000","0"
"1386","Cursed Mail","35000","1"
"1387","Cursed Mail -1","6000000","0"
"1388","Cursed Fng. Gnt.","5000","5"
"1389","Cursed F. Gnt. -1","2500000","0"
"1390","Cursed Cuisses","10000","15"
"1391","Cursed Cuisses -1","1500000","3"
"1392","Cursed Greaves","5000","14"
"1393","Cursed Greaves -1","1000000","0"
"1394","Cursed Cap","350000","28"
"1395","Cursed Cap -1","2000000","0"
"1396","Cursed Harness","200000","23"
"1397","Cursed Harness -1","2200000","0"
"1398","Cursed Gloves","100000","20"
"1399","Cursed Gloves -1","800000","0"
"1400","Cursed Subligar","200000","34"
"1401","Cursed Subligar -1","900000","0"
"1402","Cursed Leggings","200000","25"
"1403","C. Leggings -1","900000","0"
"1449","T. Whiteshell","3000","2"
"1451","R. Stripeshell","65000000","2"
"1450","L. Jadeshell","665000","58"
"1452","O. Bronzepiece","4000","4"
"1454","R. Goldpiece","60000000","8"
"1453","M. Silverpiece","600000","40"
"1455","1 Byne Bill","4000","6"
"1457","10,000 Byne Bill","59000000","5"
"1456","100 Byne Bill","600000","27"
"1832","Bkn. Hume Rod","2000","6"
"1833","Bkn. Halcyon Rod","10000","6"
"1885","Zincite","1000","2"
"2366","Whistle Coupon","5000","1"
"2404","R Chocotrain: END","200000","0"
"2403","R Chocotrain: STR","200000","0"
"2405","R Chocotrain: DSC","100000","0"
"2406","R Chocotrain: RCP","100000","0"
"2407","R Chocotrain","40000","0"
"2416","Vivi-valve II","400000","15"
"2415","Turbo Charger II","690050","11"
"2439","Cursed Helm","10000","2"
"2443","Cursed Gauntlets","10000","11"
"2444","C. Gauntlets -1","7500000","0"
"2441","C. Breastplate","30000","13"
"2445","Cursed Cuishes","10000","10"
"2447","Cursed Sabatons","10000","8"
"2449","Cursed Hat","10000","4"
"2451","Cursed Coat","10000","8"
"2452","Cursed Coat -1","5000000","0"
"2453","Cursed Cuffs","10000","10"
"2454","Cursed Cuffs -1","3546180","0"
"2455","Cursed Trews","10000","2"
"2456","Cursed Trews -1","2000000","0"
"2457","Cursed Clogs","10000","6"
"2458","Cursed Clogs -1","1000000","0"
"2461","Rusty Medal","10000","8"
"2462","Frayed Arrow","10000","5"
"2463","Colorful Hair","20000","9"
"2482","Chocotrain: STR","100000","9"
"2483","Chocotrain: END","85500","0"
"2485","Chocotrain: RCP","100000","6"
"2484","Chocotrain: DSC","100000","5"
"2488","Alexandrite","5000","1"
"2501","B. Puppet Turban","80000","4"
"2502","W. Puppet Turban","200000","8"
"2544","Smilodon Collar","1","0"
"2545","Lynx Collar","10000","1"
"2639","Hardened Bone","20000","8"
"2774","Enchanted Ink","200000","13"
"2773","Fine Parchment","70000","5"
"2775","Padded Box","50000","8"
"2776","Pumice Stone","20000","63"
"2777","Magicked Blood","40000","24"
"2778","Inferior Cocoon","20000","21"
"2891","Dried Chigoe","10000","1"
"2893","G. Blk. Tiger Fang","10000","0"
"2892","R. Mutton Chop","10000","0"
"2894","Trophy Shield","10000","0"
"2895","Oversized Sock","20000","3"
"2896","Massive Armband","20000","1"
"2897","Tr. Insect Wing","30000","6"
"2898","Piceous Scale","40000","8"
"2899","Winter Puk Egg","10000","0"
"2901","Giant Agaricus","10000","3"
"2900","Bug-eaten Hat","10000","5"
"2902","Filthy Gnole Claw","10000","1"
"2903","Eft Blood","10000","2"
"2904","G. Slug Eyestalk","10000","1"
"2905","Moonglow Cloth","10000","1"
"2906","Rotting Eyeball","10000","2"
"2907","Tiny Morbol Vine","10000","3"
"2908","Oblivispore","10000","5"
"2909","Snakeskin Moss","10000","3"
"2910","Arm. Dragonhorn","10000","0"
"2911","Ripped Eft Skin","10000","7"
"2913","Clouded Lens","10000","2"
"2914","Murmuring Glob","10000","6"
"2912","Gt. Bugard Tusk","10000","1"
"2915","H.Q. Cli. Wing","10000","1"
"2917","Bl. Hecteye","40000","4"
"2916","H.Q. Lim. Pincer","10000","7"
"2918","Baleful Skull","20000","6"
"2919","Bloody Fang","10000","1"
"2920","Alkaline Humus","20000","11"
"2921","V. Scorp. Stinger","10000","5"
"2923","Ctrice. Tailmeat","10000","2"
"2922","Eft Egg","10000","3"
"2925","Resilient Mane","10000","3"
"2926","Moaning Vestige","10000","3"
"2924","Shk. Whisker","10000","0"
"2945","Shriveled Wing","100000","11"
"2946","Tarnished Pincer","100000","5"
"2947","Exorcised Skull","100000","1"
"2948","Acidic Humus","100000","9"
"2949","Quiv. Eft Egg","40000","2"
"2950","Smooth Whisker","10000","0"
"3072","Withered Cocoon","10000","6"
"3074","Blanched Silver","10000","1"
"3073","Eruca Egg","10000","2"
"3076","Bone Chips","10000","3"
"3077","Wailing Rags","5000","4"
"3075","Undying Ooze","10000","0"
"3078","Cracked Drgscale.","10000","4"
"3080","Ext. Eyestalk","10000","7"
"3079","Gory Pincer","10000","3"
"3081","Coeurl Round","5000","1"
"3082","Withered Bud","10000","1"
"3083","Mngl. Ck. Skin","10000","5"
"3084","Great Root","10000","4"
"3086","Molt Scraps","10000","0"
"3085","Bewitching Tusk","10000","3"
"3088","Avian Remex","10000","2"
"3089","Orbn. Cheekmeat","10000","3"
"3087","Apkallu Down","10000","0"
"3090","Spheroid Plate","2000","1"
"3092","Mocking Beak","10000","3"
"3091","Hd. Raptor Skin","5000","7"
"3094","H.Q. Rock Salt","10000","10"
"3093","H.Q. Crab Meat","10000","10"
"3095","Worm-Eaten Bud","5000","6"
"3096","Spotted Flyfrond","5000","1"
"3097","Blk. Rabbit Tail","10000","1"
"3098","Gnr. Taurus Horn","5000","6"
"3100","Moonbeam Clam","10000","1"
"3101","Dented Skull","10000","2"
"3099","Gargouille Stone","10000","8"
"3102","Stiff. Tentacle","10000","2"
"3104","Opaque Wing","10000","2"
"3103","Black Whisker","10000","1"
"3105","Fortune Wing","5000","0"
"3107","Shockshroom","1000","5"
"3106","Djinn Ashes","7500","1"
"3108","Crwl. Floatstone","5000","3"
"3109","H.Q. Rabbit Hide","10000","4"
"3230","Tablilla Mercury","150000","3"
"3231","Sharabha Hide","200000","0"
"3232","Tiger King Hide","400000","1"
"3233","Vadleany Fluid","20000","10"
"3234","Oasis Water","40000","2"
"3236","Smoldering Arm","150000","6"
"3235","Sandy Shard","10000","4"
"3237","Sand-caked Fang","10000","5"
"3238","H.Q. Dhalmel Hide","80000","0"
"3239","Puppet's Blood","5000","9"
"3240","H.Q. Cktrice. Skin","10000","7"
"3241","Ladybird Leaf","5000","5"
"3242","H.Q. Scorpn. Claw","20000","7"
"3243","Sabulous Clay","10000","8"
"3244","Giant Mistletoe","20000","5"
"3245","Bevel Gear","10000","3"
"3246","Snow God Core","215000","10"
"3248","Rimed Wing","10000","1"
"3247","Sisyphus Fragment","1100000","17"
"3249","Audumbla Hide","10000","2"
"3250","Helical Gear","10000","12"
"3251","Gear Fluid","10000","5"
"3252","Gelid Arm","10000","3"
"3253","H.Q. Marid Hide","200000","19"
"3254","Ice Wyvern Scale","5000","7"
"3255","Whiteworm Clay","5000","3"
"3256","Imp Sentry's Horn","5000","2"
"3257","Benumbed Eye","20000","6"
"3258","H.Q. Buffalo Horn","10000","6"
"3259","H.Q. B. Tiger Hide","10000","2"
"3260","Teekess. Fragment","100000","3"
"3261","Minaruja Skull","100000","19"
"3262","Jaculus Wing","450000","36"
"3263","Naiad's Lock","5000","5"
"3264","Goblin Gunpowder","10000","0"
"3265","Bubbling Oil","10000","2"
"3267","Pursuer's Wing","5000","6"
"3266","Darkflame Arm","10000","9"
"3268","H.Q. Wivre Hide","30000","14"
"3269","Decaying Molar","5000","4"
"3270","H.Q. Pugil Scale","5000","4"
"3271","Fay Teardrop","5000","8"
"3272","Unseelie Eye","5000","5"
"3273","Goblin Rope","5000","1"
"3274","Goblin Oil","10000","1"
"3306","D. A. Bolt Heads","420","0"
"3493","Frgtn. Thought","10000","2"
"3494","Forgotten Hope","10000","7"
"3496","Frgtn. Journey","5000","5"
"3495","Forgotten Touch","2000","4"
"3497","Forgotten Step","5000","4"
"3498","Riftdross","500000","71"
"3499","Riftcinder","800000","214"
"3503","Mulcibar's Scoria","9000000","34"
"3502","Umbral Marrow","2800000","58"
"3505","Gar. Arrowhd.","7500","0"
"3507","Adm. Bolt Heads","20000","1"
"3509","Heavy Metal","80000","43"
"3544","Penelope's Cloth","500000","34"
"3545","Serica Cloth","300000","101"
"3546","Staghorn Coral","400000","90"
"3547","Sealord Skin","350000","31"
"3548","Sealord Leather","900000","9"
"3549","Belladonna Sap","150000","136"
"3550","Wyrdstrand","2000","8"
"3551","Wyrdweave","30000","9"
"3552","Squamous Hide","20000","14"
"3584","Panetiere","1500000","14"
"3586","Red Viola Pot","10000","2"
"3587","Blue Viola Pot","10000","3"
"3588","Yellow Viola Pot","10000","1"
"3589","White Viola Pot","10000","0"
"3595","Gemscope","10000","3"
"3596","Ornament Case","20000","1"
"3609","Stepping Stool","10000","2"
"3610","Mariner's Bed R","50000","3"
"3611","Mariner's Bed B","20000","1"
"3612","Mariner's Bed G","20000","1"
"3613","Mariner's Bed Y","40000","1"
"3614","Mariner's Bed W","10000","4"
"3634","Starlight Cake","10000","1"
"3635","Buche des Etoiles","20000","0"
"3636","Bavarois Potiron","10000","1"
"3637","Banquet Set","10000","1"
"3638","Mock Hare","10000","3"
"3639","Purifying Ewer","20000","2"
"3655","Treasury Table","10000","1"
"3657","Sundries Table","20000","5"
"3656","Treasury Stand","10000","0"
"3658","Sundries Stand","20000","4"
"3659","Supply Table","10000","2"
"3660","Supply Stand","20000","0"
"3661","Stone Hearth","10000","2"
"3663","Bonecraft Tools","10000","2"
"3662","Display Blades","30000","2"
"3664","Shell Assortment","20000","3"
"3665","Spinning Wheel","17000","1"
"3666","Fine Raiments","20000","1"
"3667","Brass Crock","20000","1"
"3668","Hide Stretcher","10000","2"
"3669","Courier Bags","30000","3"
"3670","Net and Lure","10000","0"
"3671","Stockfish","20000","2"
"3672","Carpenter's Kit","10000","3"
"3673","Chocobo Carvings","20000","1"
"3675","Flask Set","20000","1"
"3674","Alembic","20000","4"
"3678","Recital Bench","20000","2"
"3841","Pulse Cell: An","200000","9"
"3842","Pulse Cell: Fa","50000","2"
"3843","Pulse Cell: To","100000","3"
"3840","Pulse Cell: Mx","200000","8"
"3844","Pulse Cell: He","200000","12"
"3845","Pulse Cell: Mk","100000","4"
"3846","Pulse Cell: Bo","11000000","19"
"3847","Pulse Cell: As","10000000","5"
"3848","Pulse Cell: Ep","13000000","24"
"3849","Pulse Cell: Mu","11000000","18"
"3850","Pulse Cell: Co","11000000","12"
"3851","Pulse Cell: De","12000000","3"
"3852","Pulse Cell: Ay","11000000","17"
"3856","Valkyrie's Tear","500000","0"
"3869","Simian Horn","1000000","16"
"3867","Valkyrie's Wing","1000000","4"
"3868","Valkyrie's Soul","1200000","27"
"3870","Simian Mane","50000","14"
"3872","Meeble Claw","50000","12"
"3888","S. Palimpsest","1100","1"
"3889","O. Palimpsest","1000","1"
"3890","A. Palimpsest","1500","4"
"3891","I. Palimpsest","1000","1"
"3893","Daimonic Mandible","91500","39"
"3894","Daimonic Casing","2000000","1"
"3895","Rala Visage I","10000","20"
"3896","Rala Visage II","10000","18"
"3897","Rala Visage III","5000","18"
"3898","Rala Visage IV","5000","11"
"3899","Rala Visage V","10000","7"
"3900","Faithful's Torso I","8000","44"
"3901","Faithful's Torso II","20000","30"
"3902","Faithfl. Torso III","30000","28"
"3903","Faithfl. Torso IV","45000","20"
"3904","Faithful's Torso V","200000","45"
"3905","Faithful's Legs I","14000","52"
"3906","Faithful's Legs II","30000","27"
"3907","Faithful's Legs III","20000","35"
"3908","Faithful's Legs IV","90000","80"
"3909","Faithful's Legs V","250000","56"
"3910","Cirdas Visage I","10000","0"
"3911","Cirdas Visage II","10000","13"
"3912","Cirdas Visage III","10000","14"
"3913","Cirdas Visage IV","10000","17"
"3914","Cirdas Visage V","20000","6"
"3915","Saffron Blossom","5000","12"
"3916","Saffron","30000","2"
"3917","Leafkin Frond","1000","4"
"3918","Midrium Ore","10000","4"
"3919","Midrium Ingot","200000","28"
"3920","Vanadium Ore","4000","1"
"3921","Marble Nugget","15000","5"
"3922","Rhodium Ore","40000","22"
"3923","Rhodium Ingot","200000","4"
"3924","Scholar Stone","30000","26"
"3925","Tanzanite Jewel","10000","6"
"3926","Urunday Log","10000","32"
"3927","Urunday Lumber","40000","13"
"3928","Velkk Necklace","9000","21"
"3929","Velkk Mask","10000","11"
"3930","Twitherym Wing","8000","23"
"3931","Twitherym Scale","54500","5"
"3932","Chapuli Horn","1000","4"
"3933","Craklaw Pincer","10000","9"
"3934","Matamata Shell","9100","11"
"3935","Umbril Ooze","10000","26"
"3937","Panopt Tears","5000","5"
"3936","Acuex Poison","5000","25"
"3938","Mantid Foreleg","1000","0"
"3939","Mantid Carapace","2000","0"
"3940","Carrier Crab Crpc.","2000","3"
"3941","Chapuli Wing","10000","18"
"3943","Chapuli Fltchg.","1000","0"
"3942","Loc. Elutriator","1000","2"
"3944","Chapuli Arrowhd.","26500000","1"
"3945","Mdr. Bolt Heads","5000000","2"
"3946","Mantid Arrowhd.","1","0"
"3947","Dmc. Bolt Heads","17932563","0"
"3949","Tit. Bolt Heads","10000","0"
"3948","Tulfaire Fltchg.","10000","1"
"3951","Wailing Stone","10000","34"
"3952","Wailing Stone +1","2000","9"
"3953","Wailing Stone +2","30000","29"
"3954","Ghastly Stone","6000","0"
"3955","Ghastly Stone +1","3000","2"
"3956","Ghastly Stone +2","3000","7"
"3958","Yahse Humus","10000","9"
"3963","Midrium Sheet","10000","2"
"3964","Rhodium Sheet","30000","12"
"3965","Adoulinian Kelp","10000","8"
"3975","Airlixir +1","1000","14"
"3974","Airlixir","1","4"
"3976","Airlixir +2","20000","19"
"3977","Gabbrath Horn","2200000","54"
"3978","Rockfin Fin","100000","17"
"3979","Rockfin Tooth","2000000","31"
"3981","Bztavian Wing","1500000","8"
"3980","Bztavian Stinger","1855000","20"
"3982","Arborscent Seed","1000","2"
"3983","Arborfruit Seed","1000","1"
"3988","Garden Worm","1000","1"
"3989","Grove Humus","10000","1"
"3990","Coalition Humus","150000","65"
"3991","Grove Worm","1000","2"
"3992","Grove Mulch","10000","1"
"3993","Grove Cuttings","1000","0"
"3994","Entisyrup","712","1"
"3995","Coalit. Fertilizer","20000","1"
"3996","Stone Serum","1000","1"
"3997","Vein Serum","1000","1"
"3998","Auserum","1000","1"
"3999","Smelting Serum","10000","3"
"4000","Coalition Serum","10000","0"
"4001","Sardine Sphere","1000","2"
"4002","Bass Sphere","1000","0"
"4003","Shrimp Sphere","1000","0"
"4004","Baitball","10000","2"
"4005","Super Baitball","100000","8"
"4006","Sardine Chum","1000","3"
"4007","Bass Chum","1000","0"
"4008","Shrimp Chum","1000","0"
"4009","Mincemeat Chum","1000","0"
"4010","Coalition Chum","30000","2"
"4011","Grow-M-Good","200000","17"
"4012","Waktza Rostrum","1400000","15"
"4013","Waktza Crest","800000","57"
"4014","Yggdreant Bole","1600000","47"
"4015","Yggdreant Root","400000","40"
"4016","Tulfaire Feather","10000","2"
"4017","Mand. Sprout","10000","1"
"4018","Guatambu Log","10000","15"
"4019","Gua. Lumber","8000","1"
"4020","Titanium Ore","1000","1"
"4021","Titanium Ingot","30000","18"
"4022","Titanium Sheet","10100","1"
"4023","Snowsteel Ore","10000","1"
"4024","Snowsteel","220000","24"
"4025","Snowsteel Sheet","1","1"
"4026","Akaso","4300","0"
"4028","Akaso Cloth","120000","11"
"4027","Akaso Thread","100000","10"
"4030","Sekishitsu","160000","22"
"4031","Snap. Secretion","10000","15"
"4032","Snap. Tendril","10000","10"
"4033","Verdigris St.","10000","0"
"4034","Verdigris St. +1","1000","3"
"4035","Verdigris St. +2","10000","37"
"4038","Yorcia Visage II","50000","16"
"4037","Yorcia Visage I","34500","58"
"4039","Yorcia Visage III","30000","16"
"4040","Yorcia Visage IV","110000","50"
"4041","Yorcia Visage V","190000","21"
"4045","Cyclone Cotton","20000","15"
"4047","Rdt. Silk Thread","30000","26"
"4051","Alloy Tonic","25000","1"
"4052","Alloy Tonic +1","5000","1"
"4053","Alloy Tonic +2","80000","8"
"4058","Bismuth Ore","10000","1"
"4057","Gelid Aggregate","10000","2"
