"Item Name","Level","Description","Gil","Stock","Rate"
"airy ring","83","[Finger] All Races

LV 83 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","10000","0","1.42904"
"aisance mantle","88","[Back] All Races

LV 88 WAR MNK RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","1000","0","0.15837"
"aisance mantle +1","88","[Back] All Races

LV 88 WAR MNK RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","170000","0","0.180931"
"aizenkunitoshi","83","[Main] All Races
DPS: 1137 
LV 83 NIN","10000","0","0"
"ajari bead necklace","58","[Neck] All Races

LV 58 WHM SMN","4000","0","0.30114"
"aketon","60","[Body] All Races

LV 60 MNK WHM RDM THF PLD BST BRD DRG SMN BLU COR PUP DNC GEO RUN","40000","1","0.437535"
"aketon +1","60","[Body] All Races

LV 60 MNK WHM RDM THF PLD BST BRD DRG SMN BLU COR PUP DNC GEO RUN","150000","0","0.102495"
"akinji bazubands","55","[Hands] All Races

LV 55 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","80000","0","0.0917545"
"akinji khud","55","[Head] All Races

LV 55 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","70000","0","0.0188363"
"akinji nails","55","[Feet] All Races

LV 55 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","110000","0","0.0219493"
"akinji peti","55","[Body] All Races

LV 55 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","250000","0","0.0291419"
"akinji salvars","55","[Legs] All Races

LV 55 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","120000","0","0.0717815"
"Akupara's shell","0","","10000","4","0.405887"
"Akupara's shell x12","0","","0","",""
"Akvan's pennon","0","","300000","49","1.58834"
"Akvan's pennon x12","0","","2000000","0",""
"Al Zahbi sash","71","[Waist] All Races

LV 71 MNK WHM BLM RDM PLD BRD RNG SMN BLU PUP SCH GEO RUN","5000","1","0.24693"
"alabaligi","0","","6","0","0"
"alabaligi x12","0","","1000","0","0"
"alacer aketon","62","[Body] All Races

LV 62 MNK RDM THF BST RNG NIN DRG COR PUP DNC RUN","50000","2","0"
"alacer aketon +1","62","[Body] All Races

LV 62 MNK RDM THF BST RNG NIN DRG COR PUP DNC RUN","500000","0","0"
"alacrity earring","31","[Ear] All Races

LV 31 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","0","0","0"
"alacrity ring","36","[Finger] All Races

LV 36 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","10000","0","0.0782078"
"alacrity ring +1","36","[Finger] All Races

LV 36 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","60000","0","0.0220176"
"alastor","69","[Main] All Races
DPS: 1048 
LV 69 WAR DRK RUN","20000","3","0.0980264"
"Alcide's cap","87","[Head] All Races

LV 87 MNK THF BST RNG NIN BLU COR PUP DNC RUN","30000","0","0.187152"
"Alcide's cap +1","87","[Head] All Races

LV 87 MNK THF BST RNG NIN BLU COR PUP DNC RUN","300000","0","0.139534"
"Alcide's harness","87","[Body] All Races

LV 87 MNK THF BST RNG NIN BLU COR PUP DNC RUN","20000","1","1.04039"
"Alcide's harness +1","87","[Body] All Races

LV 87 MNK THF BST RNG NIN BLU COR PUP DNC RUN","100000","0","0.432147"
"Alcide's leggings","87","[Feet] All Races

LV 87 MNK THF BST RNG NIN BLU COR PUP DNC RUN","37500","0","0.394388"
"Alcide's leggings +1","87","[Feet] All Races

LV 87 MNK THF BST RNG NIN BLU COR PUP DNC RUN","180000","0","0.25632"
"Alcide's mitts","87","[Hands] All Races

LV 87 MNK THF BST RNG NIN BLU COR PUP DNC RUN","40000","0","0.423308"
"Alcide's mitts +1","87","[Hands] All Races

LV 87 MNK THF BST RNG NIN BLU COR PUP DNC RUN","130000","0","0.256323"
"Alcide's subligar","87","[Legs] All Races

LV 87 MNK THF BST RNG NIN BLU COR PUP DNC RUN","30000","0","0.25991"
"Alcide's subligar +1","87","[Legs] All Races

LV 87 MNK THF BST RNG NIN BLU COR PUP DNC RUN","300000","0","0.159158"
"alembic","0","","20000","1","0"
"Alkyoneus's bracelets","70","[Hands] All Races

LV 70 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","22000","1","1.08792"
"allies' die","0","","50000","1","0"
"allure earring +1","49","[Ear] All Races

LV 49 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","200000","0","0"
"allure ring","54","[Finger] All Races

LV 54 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","0","0.294846"
"allure ring +1","54","[Finger] All Races

LV 54 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","500000","0","0"
"alluring headband","36","[Head] All Races

LV 36 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","4000","0","0.184667"
"almogavar bow","20","[Ranged] All Races
DPS: 312 
LV 20 WAR THF DRK RNG","5000","2","0.697047"
"Alruna's gloves","93","[Hands] All Races

LV 93 THF RNG COR","20000","1","0.33209"
"alumine brayettes","45","[Legs] All Races

LV 45 WAR PLD DRK BST SAM NIN","10000","1","0.0201041"
"alumine haubert","45","[Body] All Races

LV 45 WAR PLD DRK BST SAM NIN","30000","1","0.0305084"
"alumine moufles","45","[Hands] All Races

LV 45 WAR PLD DRK BST SAM NIN","10000","0","0.0201269"
"alumine salade","45","[Head] All Races

LV 45 WAR PLD DRK BST SAM NIN","15000","1","0.0209427"
"alumine sollerets","45","[Feet] All Races

LV 45 WAR PLD DRK BST SAM NIN","10000","2","0.0205419"
"aluminum chain","0","","9000","1","0"
"aluminum chain x12","0","","0","0","0"
"aluminum ingot","0","","2000","0","5.01102"
"aluminum ingot x12","0","","60000","0","0.739027"
"aluminum sheet","0","","8000","1","0.024407"
"aluminum sheet x12","0","","120000","1","0"
"amakura","57","[Main] All Races
DPS: 947 
LV 57 SAM","20000","2","0.824559"
"amaltheia hide","0","","10000","7","0.788981"
"amaltheia hide x12","0","","0","",""
"amanita hairpin","88","[Head] All Races

LV 88 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20000","0","0.143904"
"amanokakoyumi","69","[Ranged] All Races
DPS: 790 
LV 69 RNG SAM","2000","1","0.0398835"
"amaryllis","0","","1000","1","1.7303"
"amaryllis x12","0","","2000","0","0.0780707"
"amazon bow","77","[Ranged] All Races
DPS: 790 
LV 77 RNG","30000","0","0"
"amazon bow +1","77","[Ranged] All Races
DPS: 825 
LV 77 RNG","0","0","0"
"amber earring","10","[Ear] All Races

LV 10 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","1000","0","0.10755"
"amber ring","14","[Finger] All Races

LV 14 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","4000","0","0.0851628"
"amber stone","0","","550","3","0.247322"
"amber stone x12","0","","10000","1","0.0490013"
"Amemet mantle","61","[Back] All Races

LV 61 WAR MNK RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","50000","0","0.645463"
"Amemet mantle +1","61","[Back] All Races

LV 61 WAR MNK RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","220000","0","3.03067"
"Amemet skin","0","","5000","3","2.14888"
"Amemet skin x12","0","","50000","0",""
"ameretat vine","0","","1000","4","0.720417"
"ameretat vine x12","0","","1000","0",""
"amethyst","0","","1000","2","0.254989"
"amethyst earring","10","[Ear] All Races

LV 10 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","1000","0","0.0131516"
"amethyst ring","14","[Finger] All Races

LV 14 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","2000","2","0.785994"
"amethyst x12","0","","10000","0","0.12004"
"ametrine","0","","1000","2","1.04853"
"ametrine earring","31","[Ear] All Races

LV 31 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","3000","0","0"
"ametrine ring","36","[Finger] All Races

LV 36 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","5000","1","0.20538"
"ametrine x12","0","","10000","0","0.0547331"
"amiga cactus","0","","10000","3","0.1359"
"amigo cactus","0","","5000","0","0.127868"
"amir bed","0","","10000","0","0"
"amity cape","51","[Back] All Races

LV 51 WHM BLM RDM BRD SMN BLU PUP SCH GEO","10000","5","0.0451391"
"amoeban pseudopod","0","","1000","3","2.14037"
"amoeban pseudopod x12","0","","200000","0","0.324956"
"amood","75","[Main] All Races
DPS: 1048 
LV 75 WAR","100000","1","0.0343863"
"amood +1","75","[Main] All Races
DPS: 1092 
LV 75 WAR","0","","0"
"amorph earring","50","[Ear] All Races

LV 50 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","90000","2","0"
"amphiptere claw","0","","5000","1","0.443187"
"amphiptere claw x12","0","","0","",""
"amphiptere hide","0","","3000","3","1.9222"
"amphiptere hide x12","0","","23000","0",""
"amphiptere whisker","0","","2000","2","0.179536"
"amphiptere whisker x12","0","","0","",""
"analyzer","0","","10000","2","0.695074"
"analyzer x12","0","","52500","0","0"
"anchovy pizza","0","","100000","1","0"
"anchovy pizza +1","0","","130000","1","0"
"ancient beast horn","0","","1000","1","3.17707"
"ancient beast horn x12","0","","10000","0",""
"ancient sword","45","[Main] All Races
DPS: 658 
LV 45 WAR RDM THF PLD DRK BST BRD RNG NIN DRG BLU COR RUN","10000","0","0.0802419"
"ancient torque","74","[Neck] All Races

LV 74 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","150000","0","0.13736"
"anelace","72","[Main] All Races
DPS: 1004 
LV 72 WAR RDM PLD DRK BLU COR RUN","100000","4","0.125241"
"anelace +1","72","[Main] All Races
DPS: 1057 
LV 72 WAR RDM PLD DRK BLU COR RUN","200000","0","0"
"Anemohelix schema","0","","20000","0","0.764439"
"angel lyre","71","[Ranged] All Races

LV 71 BRD","10000","0","0.409723"
"angel skin orb","0","","40000","15","3.01888"
"angel skin orb x12","0","","130000","1","0"
"angel's earring","67","[Ear] All Races

LV 67 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","10000","0","0"
"angel's flute","48","[Ranged] All Races

LV 48 BRD","3000","1","0.0326371"
"angel's flute +1","48","[Ranged] All Races

LV 48 BRD","10000","0","0.157479"
"angel's ring","72","[Finger] All Races

LV 72 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20000","2","0.41106"
"angelstone","0","","10000","13","3.15788"
"angelstone x12","0","","60000","7","0"
"angelwing","0","","500","0","0.0170778"
"angelwing x99","0","","1000","1","0.159985"
"Angha gem","95","[Ammo] All Races

LV 95 WAR PLD","20000","1","0.243765"
"angha ring","94","[Finger] All Races

LV 94 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","1","0.301275"
"angler stewpot","0","","1000","0","0"
"angler's boots","15","[Feet] All Races

LV 15 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","0","0.117984"
"angler's gloves","15","[Hands] All Races

LV 15 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","0","0.17078"
"angler's hose","15","[Legs] All Races

LV 15 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","0","0.0705517"
"angler's tunica","15","[Body] All Races

LV 15 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","0","0.0922074"
"angon","75","[Ammo] All Races

LV 75 DRG","900","0","0"
"angon x99","75","[Ammo] All Races

LV 75 DRG","50000","1","0.987022"
"Animus Augeo schema","0","","20000","7","2.28758"
"Animus Minuo schema","0","","10000","5","2.08355"
"antares harness","71","[Body] All Races

LV 71 WAR MNK RDM THF DRK BRD NIN BLU COR PUP DNC RUN","50000","0","0.642008"
"anthos xiphos","25","[Main] All Races
DPS: 447 
LV 25 WAR RDM THF PLD DRK BST BRD RNG NIN DRG BLU COR RUN","20000","0","0.303237"
"Antican pauldron","0","","1000","0","7.01563"
"Antican pauldron x12","0","","20000","0",""
"Antican robe","0","","1000","0","3.12552"
"Antican robe x12","0","","10000","0",""
"antidote","0","","6500","2","0.227305"
"antidote x12","0","","3000","4","1.33247"
"antique bullet","22","[Ammo] All Races
DPS: 1012 
LV 22 RNG","1","0","0"
"antique bullet +1","42","[Ammo] All Races
DPS: 1470 
LV 42 RNG","7777","0","0"
"antique bullet +1 x99","42","[Ammo] All Races
DPS: 1470 
LV 42 RNG","10000","0","0"
"antique bullet x99","22","[Ammo] All Races
DPS: 1012 
LV 22 RNG","5000","0","0"
"antivenom earring","50","[Ear] All Races

LV 50 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","0","1.17758"
"antlion arrow","80","[Ammo] All Races
DPS: 2733 
LV 80 WAR RDM THF PLD DRK BST RNG SAM NIN","1111","0","0"
"antlion arrow x99","80","[Ammo] All Races
DPS: 2733 
LV 80 WAR RDM THF PLD DRK BST RNG SAM NIN","20000","0","0.20028"
"antlion jaw","0","","2000","4","2.93614"
"antlion jaw x12","0","","20000","0",""
"antlion quiver","0","","3000","2","1.57494"
"antlion quiver x12","0","","50000","0","1.02696"
"antlion sickle","46","[Main] All Races
DPS: 833 
LV 46 WAR BLM DRK BST","20000","0","0.0529161"
"Anubis's knife","65","[Main] All Races
DPS: 623 
LV 65 WAR THF DRK RNG NIN COR PUP DNC","10000","1","0.113257"
"apathy gorget","86","[Neck] All Races

LV 86 WAR PLD DRK BST DRG","50000","3","0.569445"
"apkallu egg","0","","4000","6","5.00192"
"apkallu egg x12","0","","40000","0","4.14736"
"apkallu feather","0","","1000","0","0.574272"
"apkallu feather x12","0","","30000","1","3.11676"
"Apollo's ring","80","[Finger] All Races

LV 80 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","160000","4","0.0341246"
"Apollo's staff","51","[Main] All Races
DPS: 590 
LV 51 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","150000","1","2.78583"
"apple au lait tank","1","[Back] All Races

LV 1 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","5000","0","0"
"apple pie","0","","1000","0","0.316462"
"apple pie +1","0","","2000","2","0.17819"
"apple pie +1 x12","0","","30000","0","0.278129"
"apple pie x12","0","","10000","2","1.244"
"aqua earring","76","[Ear] All Races

LV 76 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","1","0"
"aqua gem","0","","50000","8","0.462869"
"aqua gem x12","0","","500000","0","0"
"aqua geode","0","","100","2","7.88992"
"aqua geode x99","0","","50000","1","0.342029"
"aqua pearl","86","[Ear] All Races

LV 86 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","100000","1","0.547664"
"aqua ring","74","[Finger] All Races

LV 74 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","1","0.337825"
"aquamarine","0","","2000","3","2.11715"
"aquamarine earring","49","[Ear] All Races

LV 49 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","40000","2","0"
"aquamarine ring","54","[Finger] All Races

LV 54 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","5000","0","0.239293"
"aquamarine x12","0","","20000","1","0.238749"
